Date/Time,Mouse Position
2023-06-17 20:45:24.837300,"(1196, 373)"
2023-06-17 20:45:24.858243,"(1199, 385)"
2023-06-17 20:45:24.879187,"(1202, 405)"
2023-06-17 20:45:24.901125,"(1206, 441)"
2023-06-17 20:45:24.924697,"(1207, 482)"
2023-06-17 20:45:24.947635,"(1207, 510)"
2023-06-17 20:45:24.977555,"(1206, 535)"
2023-06-17 20:45:25.000516,"(1203, 549)"
2023-06-17 20:45:25.022434,"(1203, 560)"
2023-06-17 20:45:25.050360,"(1203, 574)"
2023-06-17 20:45:25.073300,"(1203, 577)"
2023-06-17 20:45:25.095240,"(1203, 578)"
2023-06-17 20:45:25.139122,"(1203, 579)"
2023-06-17 20:45:25.180013,"(1204, 579)"
2023-06-17 20:45:25.200957,"(1205, 580)"
2023-06-17 20:45:25.222899,"(1205, 581)"
2023-06-17 20:45:25.243876,"(1205, 582)"
2023-06-17 20:45:25.263822,"(1205, 585)"
2023-06-17 20:45:25.284767,"(1205, 587)"
2023-06-17 20:45:25.305711,"(1205, 589)"
2023-06-17 20:45:25.325656,"(1204, 590)"
2023-06-17 20:45:25.346601,"(1203, 591)"
2023-06-17 20:45:26.510966,"(1203, 586)"
2023-06-17 20:45:26.531910,"(1202, 583)"
2023-06-17 20:45:26.553829,"(1202, 577)"
2023-06-17 20:45:26.554828,"(1201, 572)"
2023-06-17 20:45:26.574808,"(1200, 564)"
2023-06-17 20:45:26.595748,"(1199, 547)"
2023-06-17 20:45:26.616696,"(1198, 538)"
2023-06-17 20:45:26.636646,"(1196, 520)"
2023-06-17 20:45:26.657587,"(1195, 513)"
2023-06-17 20:45:26.678531,"(1193, 504)"
2023-06-17 20:45:26.698445,"(1192, 501)"
2023-06-17 20:45:26.719424,"(1191, 497)"
2023-06-17 20:45:26.740368,"(1191, 495)"
2023-06-17 20:45:26.761310,"(1191, 494)"
2023-06-17 20:45:26.782250,"(1191, 493)"
2023-06-17 20:45:26.916860,"(1191, 492)"
2023-06-17 20:46:25.001713,"(1189, 490)"
2023-06-17 20:46:25.023654,"(1188, 489)"
2023-06-17 20:46:25.162287,"(1188, 490)"
2023-06-17 20:46:25.183233,"(1187, 495)"
2023-06-17 20:46:25.204177,"(1186, 503)"
2023-06-17 20:46:25.225121,"(1185, 511)"
2023-06-17 20:46:25.246065,"(1185, 521)"
