Date/Time,Mouse Position
2023-06-24 01:23:11.664822,"(1367, 789)"
Date/Time,Mouse Position
2023-06-24 01:24:42.384035,"(341, 458)"
2023-06-24 01:24:42.428585,"(356, 458)"
2023-06-24 01:24:42.472632,"(423, 458)"
2023-06-24 01:24:42.517626,"(554, 458)"
2023-06-24 01:24:42.560628,"(645, 458)"
2023-06-24 01:24:42.603182,"(694, 458)"
2023-06-24 01:24:42.646182,"(700, 458)"
2023-06-24 01:24:42.689179,"(700, 457)"
2023-06-24 01:24:42.730745,"(702, 457)"
2023-06-24 01:24:42.774267,"(703, 456)"
2023-06-24 01:24:42.817803,"(735, 456)"
2023-06-24 01:24:42.860853,"(797, 456)"
2023-06-24 01:24:42.904799,"(885, 464)"
2023-06-24 01:24:42.948848,"(1183, 518)"
2023-06-24 01:24:43.065804,"(1367, 789)"
Date/Time,Mouse Position
2023-06-24 01:57:12.678274,"(336, 437)"
2023-06-24 01:57:12.831308,"(340, 437)"
2023-06-24 01:57:12.856288,"(357, 439)"
2023-06-24 01:57:12.883291,"(405, 446)"
2023-06-24 01:57:12.907881,"(536, 460)"
2023-06-24 01:57:12.934882,"(761, 486)"
2023-06-24 01:57:12.958880,"(1051, 524)"
2023-06-24 01:57:13.037881,"(1367, 789)"
2023-06-24 01:57:39.434687,"(1356, 223)"
2023-06-24 01:57:39.483693,"(1051, 203)"
2023-06-24 01:57:39.513258,"(989, 189)"
2023-06-24 01:57:39.548772,"(988, 187)"
2023-06-24 01:57:39.584907,"(996, 179)"
