Time,Mouse Position
2023-05-20 22:27:51.813296,"(1206, 611)"
2023-05-20 22:27:52.320076,"(1206, 611)"
2023-05-20 22:27:53.736131,"(1206, 360)"
2023-05-20 22:27:54.122824,"(1206, 360)"
2023-05-20 22:27:54.651446,"(1206, 360)"
2023-05-20 22:27:55.238844,"(1206, 360)"
2023-05-20 22:27:55.781235,"(1206, 360)"
2023-05-20 22:27:58.114105,"(870, 613)"
2023-05-20 22:27:58.257722,"(870, 613)"
2023-05-20 22:27:58.451670,"(870, 613)"
2023-05-20 22:27:58.604356,"(870, 613)"
2023-05-20 22:27:58.796840,"(870, 614)"
2023-05-20 22:27:58.991234,"(870, 614)"
2023-05-20 22:27:59.833898,"(1187, 726)"
2023-05-20 22:28:02.313585,"(1165, 721)"
2023-05-20 22:28:03.172059,"(1165, 721)"
2023-05-20 22:28:03.628311,"(1165, 721)"
2023-05-20 22:28:04.173988,"(1165, 721)"
2023-05-20 22:28:04.578546,"(1165, 721)"
2023-05-20 22:28:05.137053,"(1165, 721)"
2023-05-20 22:28:05.475840,"(1165, 721)"
2023-05-20 22:28:05.889755,"(1165, 721)"
2023-05-20 22:28:06.201919,"(1165, 721)"
2023-05-20 22:28:06.491631,"(1165, 721)"
2023-05-20 22:28:06.755380,"(1165, 721)"
2023-05-20 22:28:06.978820,"(1165, 721)"
2023-05-20 22:28:07.240284,"(1165, 721)"
2023-05-20 22:28:07.613173,"(1165, 721)"
2023-05-20 22:28:08.413903,"(1196, 359)"
2023-05-20 22:28:08.610424,"(1197, 361)"
2023-05-20 22:28:08.778921,"(1198, 362)"
2023-05-20 22:28:08.973574,"(1201, 363)"
2023-05-20 22:28:09.166560,"(1202, 363)"
2023-05-20 22:28:10.322334,"(1176, 714)"
2023-05-20 22:28:24.961097,"(1201, 368)"
2023-05-20 22:28:25.164089,"(1200, 368)"
2023-05-20 22:28:25.345694,"(1201, 368)"
2023-05-20 22:28:25.521059,"(1203, 367)"
2023-05-20 22:28:25.677647,"(1204, 368)"
2023-05-20 22:28:26.529520,"(1185, 714)"
2023-05-20 22:28:42.347930,"(1212, 485)"
2023-05-20 22:28:42.563353,"(1214, 484)"
2023-05-20 22:28:42.752847,"(1214, 485)"
2023-05-20 22:28:42.944940,"(1213, 485)"
2023-05-20 22:28:43.131442,"(1213, 485)"
2023-05-20 22:28:44.021091,"(1137, 716)"
2023-05-20 22:29:01.785823,"(1189, 129)"
2023-05-20 22:29:01.969973,"(1188, 130)"
2023-05-20 22:29:02.155511,"(1189, 131)"
2023-05-20 22:29:02.376885,"(1188, 132)"
2023-05-20 22:29:02.564416,"(1189, 134)"
2023-05-20 22:29:03.357798,"(1187, 720)"
2023-05-20 22:29:27.118877,"(1199, 354)"
2023-05-20 22:29:27.285434,"(1200, 354)"
2023-05-20 22:29:28.165928,"(1174, 732)"
2023-05-20 22:30:16.328290,"(1170, 126)"
2023-05-20 22:30:16.433978,"(1223, 127)"
2023-05-20 22:30:16.655437,"(1223, 127)"
2023-05-20 22:30:16.839690,"(1223, 127)"
2023-05-20 22:30:17.283506,"(1225, 126)"
2023-05-20 22:30:18.388321,"(1191, 730)"
Time,Mouse Position
2023-05-20 22:33:04.308027,"(446, 217)"
2023-05-20 22:33:05.091255,"(1191, 132)"
2023-05-20 22:33:05.272805,"(1191, 132)"
2023-05-20 22:33:05.778273,"(1185, 719)"
2023-05-20 22:33:06.899294,"(1221, 161)"
2023-05-20 22:33:07.736281,"(1182, 700)"
2023-05-20 22:33:07.903321,"(1182, 700)"
2023-05-20 22:33:08.071381,"(1182, 700)"
2023-05-20 22:33:08.238931,"(1181, 701)"
2023-05-20 22:33:08.406483,"(1181, 701)"
2023-05-20 22:33:08.594979,"(1181, 701)"
2023-05-20 22:33:08.785470,"(1181, 701)"
